Assembly Center,Assembly Date,BoxA,BoxB,Qty Assembled,Vendor,,,Sum of Qty Assembled,Column Labels,,,,,,,,,,,,,,,,,,
Beohari,05-12-2015,1,1,40,,,,Row Labels,Beohari,Betul,Boriguma,Chotisarvan,Garhi,Ghatol,Igatpuri,Jaisinghnagar,Mawai,Mohgaon,Multai,Nabrangpur,Narayanganj,Peint,Pipalkhoont,Surgana,Trimbak,Umerkote,Grand Total
Multai,28-12-2015,34,17,660,,,,,,,,,,,,,,,,,,,,,,,
Multai,29-12-2015,16,8,300,,,,,,,,,,,,,,,,,,,,,,,
Multai,30-12-2015,46,23,900,,,,,,,,,,,,,,,,,,,,,,,
Multai,31-12-2015,48,24,940,,,,,,,,,,,,,,,,,,,,,,,
Multai,01-01-2016,32,16,640,,,,,,,,,,,,,,,,,,,,,,,
Multai,02-01-2016,46,23,920,,,,,,,,,,,,,,,,,,,,,,,
Multai,03-01-2016,50,25,962,,,,,,,,,,,,,,,,,,,,,,,
Multai,04-01-2016,32,16,640,,,,,,,,,,,,,,,,,,,,,,,
Multai,05-01-2016,34,17,680,,,,,,,,,,,,,,,,,,,,,,,
Multai,07-01-2016,30,15,600,,,,,,,,,,,,,,,,,,,,,,,
Multai,08-01-2016,60,30,1200,,,,,,,,,,,,,,,,,,,,,,,
Multai,09-01-2016,60,30,1200,,,,,,,,,,,,,,,,,,,,,,,
Multai,10-01-2016,52,26,1006,,,,,,,,,,,,,,,,,,,,,,,
Multai,11-01-2016,54,27,1080,,,,,,,,,,,,,,,,,,,,,,,
Multai,12-01-2016,60,30,1200,,,,,,,,,,,,,,,,,,,,,,,
Multai,13-01-2016,64,32,1250,,,,,,,,,,,,,,,,,,,,,,,
Multai,14-01-2016,40,20,777,S1,,,,,,,,,,,,,,,,,,,,,,
Multai,15-01-2016,34,17,649,S1,,,,,,,,,,,,,,,,,,,,,,
Multai,18-01-2016,0,0,0,S1,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,27-11-2015,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,11-12-2015,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,12-12-2015,3,3,113,,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,16-12-2015,14,14,535,,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,17-12-2015,1,1,20,,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,18-12-2015,1,1,20,,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,19-12-2015,4,4,160,,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,21-12-2015,8,8,300,,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,28-12-2015,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,29-12-2015,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,30-12-2015,21,21,840,,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,31-12-2015,12,12,477,,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,13-01-2016,7,7,280,S1,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,14-01-2016,9,9,360,S1,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,15-01-2016,17,17,680,S1,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,16-01-2016,15,15,600,S1,,,,,,,,,,,,,,,,,,,,,,
Nabrangpur,17-01-2016,3,3,120,S1,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,09-12-2015,6,5,198,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,10-12-2015,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
